$gene_or_promoter	SolutionOrder	mass reclaimed $(fg/cell)$	A14.07036	cumulativeMass
b0962	10	6.88266638029	4.59165577905e-07	48.3576198695
b0963	10	6.88266638029	0.0243609594474	48.3819808289
PM0-10012	10	6.88266638029	4.59165577905e-07	48.3819812881
b0964	10	6.88266638029	4.59165577905e-07	48.3819817473
PM0-36218	10	6.88266638029	4.59165577905e-07	48.3819822064
b0965	10	6.88266638029	4.59165577905e-07	48.3819826656
b0966	10	6.88266638029	4.59165577905e-07	48.3819831248
b0967	10	6.88266638029	0.0126834975376	48.3946666223
b0968	10	6.88266638029	4.59165577905e-07	48.3946670815
b0969	10	6.88266638029	4.59165577905e-07	48.3946675406
b0970	10	6.88266638029	4.59165577905e-07	48.3946679998
PM0-9395	10	6.88266638029	4.59165577905e-07	48.394668459
b0971	10	6.88266638029	4.59165577905e-07	48.3946689181
b1913	9	0.910191488255	0.000519355554807	64.4046182538
b1914	9	0.910191488255	4.59165577905e-07	64.4046187129
PM00388	9	0.910191488255	4.59165577905e-07	64.4046191721
PM00389	9	0.910191488255	4.59165577905e-07	64.4046196313
PM0-9377	9	0.910191488255	4.59165577905e-07	64.4046200904
b1915	9	0.910191488255	4.59165577905e-07	64.4046205496
b1916	9	0.910191488255	4.59165577905e-07	64.4046210088
PM0-46164	9	0.910191488255	4.59165577905e-07	64.4046214679
PM0-46369	9	0.910191488255	4.59165577905e-07	64.4046219271
sdsN	9	0.910191488255	4.59165577905e-07	64.4046223863
b1917	9	0.910191488255	0.0187628377751	64.423385224
